8	8	8
61	61	56
Finished target hashing
Curr threshold: 51
Query elem count: 111942
Finished query hashing
#target_seq_num	query_seq_num	target_seq_pos	query_seq_pos	
13	41	437	436
20	236	73	54
20	236	1334	1402
20	236	538	601
20	236	2009	2082
20	236	1485	1553
20	236	322	303
20	236	1373	1441
20	310	159	159
20	310	1878	1964
20	310	1725	1811
20	310	239	239
20	310	1397	1483
20	310	290	290
20	310	1879	1965
20	310	630	715
20	310	1269	1355
20	310	36	36
20	310	117	117
20	310	1444	1530
20	310	73	73
20	310	1221	1307
20	310	185	185
20	310	321	321
20	310	513	598
20	310	1378	1464
20	310	1726	1812
20	310	163	163
20	310	1062	1148
20	310	360	360
20	310	1727	1813
20	310	1916	2002
20	310	31	31
20	310	122	122
20	310	728	813
20	310	1721	1807
20	310	77	77
20	310	1205	1291
20	310	2204	2289
20	310	519	604
20	310	1919	2005
20	310	1400	1486
20	310	1699	1785
20	310	1403	1489
20	310	1701	1787
20	310	1485	1571
20	310	1398	1484
20	310	1920	2006
20	310	294	294
20	310	113	113
20	310	1680	1766
20	310	1875	1961
20	310	1660	1746
20	310	1373	1459
20	310	1440	1526
20	310	1374	1460
20	310	1223	1309
20	310	2006	2092
20	310	116	116
20	310	516	601
20	310	1730	1816
20	310	2251	2336
20	310	1396	1482
20	310	195	195
20	310	322	322
20	310	1126	1212
48	324	2270	2197
48	324	2275	2202
64	350	390	390
64	350	125	125
64	350	99	99
64	350	127	127
64	350	126	126
64	350	11	11
64	350	10	10
64	350	130	130
64	350	14	14
64	350	21	21
64	350	95	95
64	350	5	5
64	350	94	94
64	350	237	237
64	350	396	396
69	417	382	382
69	417	54	54
69	417	51	51
81	192	577	825
81	192	453	701
81	192	578	826
81	192	579	827
81	192	352	600
81	192	356	604
81	192	365	613
82	190	395	395
89	340	369	375
89	340	365	371
89	340	367	373
89	340	308	314
89	340	364	370
89	340	249	253
89	340	370	376
100	98	211	211
100	98	105	105
100	98	179	179
100	98	131	131
100	98	184	184
100	98	175	175
100	98	112	112
100	98	109	109
100	98	110	110
100	98	122	122
100	98	221	221
100	98	126	126
105	369	116	211
105	369	388	501
105	369	389	502
105	369	392	505
105	369	391	504
109	176	329	342
111	157	549	456
111	157	291	190
111	369	546	496
111	369	289	209
111	369	551	501
111	369	284	204
111	369	552	502
111	369	550	500
111	369	288	208
111	369	481	407
111	369	542	492
111	369	478	404
111	369	553	503
111	369	476	402
111	369	549	499
111	369	548	498
111	369	547	497
111	369	555	505
111	369	525	475
111	369	523	473
111	369	543	493
111	369	479	405
111	369	287	207
111	369	475	401
111	369	291	211
111	369	533	483
111	369	545	495
111	369	554	504
118	315	243	289
118	315	172	218
118	315	244	290
118	315	263	309
118	315	264	310
118	315	249	295
118	315	162	208
118	315	260	306
118	315	168	214
118	315	318	364
118	315	173	219
118	315	309	355
118	315	259	305
118	315	305	351
118	315	262	308
118	315	164	210
118	315	371	417
122	188	287	287
122	188	291	291
122	188	153	153
122	188	288	288
132	3	87	87
132	3	46	46
132	3	447	447
132	3	389	389
132	3	228	228
132	3	386	386
132	3	88	88
132	3	390	390
132	3	549	549
132	3	90	90
132	3	317	317
132	3	322	322
132	3	84	84
132	3	229	229
132	3	175	175
132	3	884	884
132	35	447	417
132	46	447	417
132	46	451	421
132	130	228	244
132	130	229	245
147	134	199	230
155	379	158	166
155	379	140	148
155	379	154	162
168	331	665	661
175	338	309	30
179	350	396	390
179	350	105	99
179	350	133	127
179	350	11	11
179	350	10	10
179	350	101	95
179	350	100	94
179	350	402	396
180	3	408	447
180	35	408	417
180	46	408	417
181	344	63	179
183	338	318	30
187	22	259	259
187	22	254	254
187	195	354	354
187	195	258	258
187	195	71	71
